1,"Potatoes, Kazakhstan",1,"Aliquam sapien mauris, pharetra consequat hendrerit nec, tincidunt id ligula. Pellentesque at odio ac nunc aliquet eleifend. In tincidunt efficitur fermentum. Etiam sed urna nulla. Curabitur suscipit commodo aliquet. Curabitur ac leo convallis, iaculis diam sed, finibus odio. Curabitur vitae est egestas, dignissim mi sed, bibendum ipsum.",1,1,,0,017a733f-07c0-431d-94e0-4f0420d53dab,2cee2bd0-6e24-4606-8c9a-6ab966bca61e,9b6e7b1a-995d-4968-a93f-435676cb1b5d,1
2,Carrots,1,"Aliquam et metus augue. Cras lacinia congue hendrerit. Curabitur nec sem non tellus faucibus bibendum. Integer nulla justo, convallis sit amet aliquet nec, interdum vitae quam. Vestibulum luctus neque ac pellentesque pretium. Sed gravida tellus et condimentum eleifend. Phasellus non dolor sed nulla efficitur consequat nec vitae erat.&nbsp;",3,1,,0,739eb1a7-0475-4aeb-8154-3a8333980c0c,c59889ad-8bcd-41bd-9584-dd4d02f749a9,7b4b0545-54fb-40fa-acfe-b1062740c0dc,1
3,"Apricot, Chine",1,"Vivamus at tellus eget augue convallis lobortis. Sed enim velit, laoreet nec porttitor ac, tempor luctus ipsum. Proin euismod erat est, vitae efficitur ipsum ullamcorper vitae. Fusce a ultricies lorem, a porta arcu. Pellentesque ut dictum velit, commodo dapibus dolor. Etiam laoreet mauris convallis erat dictum gravida. Ut auctor lacus non massa eleifend fringilla. Praesent a tellus maximus, fermentum justo ut, volutpat sapien.",9,0,,0,8d3421bb-a092-476d-9ad3-d5d24c375e40,dadfe18b-0f23-4672-bc95-66471a538d06,,1
4,"Cherry, Japan",1,"Etiam lectus ipsum, mattis ac dictum ac, pellentesque ac nisl. Quisque sagittis dictum turpis vitae ullamcorper. Duis malesuada enim diam, quis vehicula tortor ultrices quis. Maecenas nibh mauris, ultricies at ultrices et, viverra at libero. Nulla non malesuada ante. Nunc sed nisl nulla. Integer iaculis sed velit vel porta.",10,1,,1,8e717cb7-7fa6-4e36-a2a2-2538cea91601,dadfe18b-0f23-4672-bc95-66471a538d06,,1
5,Radish,1,"Maecenas pretium elementum convallis. Phasellus feugiat convallis nulla ut suscipit. Integer urna nunc, varius at nisi eget, egestas interdum sapien. Cras volutpat porta elit, in ultrices mi mollis sed. Praesent elementum sodales feugiat.",6,0,,0,a984d746-cb0a-4068-a5eb-fff7acca9111,c59889ad-8bcd-41bd-9584-dd4d02f749a9,7b4b0545-54fb-40fa-acfe-b1062740c0dc,1
6,Beets,1,"Vivamus bibendum, lectus at finibus pharetra, lectus elit mattis enim, eu euismod lorem tellus lobortis neque. Phasellus vestibulum arcu eget est tincidunt cursus. Sed porttitor fermentum dignissim. Vestibulum hendrerit dui eget libero malesuada, et pharetra mauris iaculis. Ut ac eros sed ipsum dignissim volutpat ac iaculis ante.",2,1,"Contains vitamins K, C, B6р",0,b10e0bb2-2e0c-4876-80e1-2e639faa3a92,c59889ad-8bcd-41bd-9584-dd4d02f749a9,7b4b0545-54fb-40fa-acfe-b1062740c0dc,2
7,Parsley,1,"Aenean est odio, sollicitudin id erat in, efficitur porttitor purus. Etiam ut egestas massa, vitae dictum neque. Nulla euismod sodales neque quis interdum. Quisque efficitur convallis turpis ac varius. Duis et condimentum magna, venenatis hendrerit diam. Proin iaculis id quam vitae condimentum. Ut ac leo malesuada, volutpat lorem at, commodo lacus.",5,1,,0,be0a063d-cfa3-403d-8cd5-1f034972d35c,c59889ad-8bcd-41bd-9584-dd4d02f749a9,7b4b0545-54fb-40fa-acfe-b1062740c0dc,1
8,"Apples, Chine",1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras urna mauris, vestibulum eu pretium quis, rhoncus in arcu. Phasellus mattis augue semper sem imperdiet, ac commodo est blandit. Nulla sed ipsum massa. Ut placerat mauris vel nisl lobortis, feugiat luctus dui blandit. In urna nunc, laoreet sed augue quis, tincidunt iaculis nulla. Donec urna tellus, elementum vitae libero ut, eleifend fermentum enim. Vivamus vestibulum placerat nisl, ac vehicula mauris feugiat nec.",8,1,,1,c0f09ef2-22b2-4131-a822-0562fa7f02c6,dadfe18b-0f23-4672-bc95-66471a538d06,,1
9,Celery,1,"Etiam lacinia molestie feugiat. Nullam id libero eget ligula sagittis pharetra. Cras congue nisl in gravida volutpat. Mauris tristique purus risus, sed imperdiet est imperdiet eget. Duis aliquam mauris non scelerisque ultrices.",4,0,,0,ed2fcea9-39ec-4ae2-9469-c5eb417023a7,c59889ad-8bcd-41bd-9584-dd4d02f749a9,7b4b0545-54fb-40fa-acfe-b1062740c0dc,1
10,Radishes,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Ut est sem, pellentesque placerat nisi eu, dignissim imperdiet orci. Quisque purus tellus, tincidunt sed placerat sollicitudin, varius in lorem. Donec molestie sapien eget ornare commodo. Pellentesque non velit facilisis, sagittis urna lobortis, blandit nibh.",7,1,,0,f41ec5f0-df4f-46d4-b179-16be4dbcb745,c59889ad-8bcd-41bd-9584-dd4d02f749a9,7b4b0545-54fb-40fa-acfe-b1062740c0dc,1
11,Banana,1,"Etiam lectus ipsum, mattis anatoque penatibus et magnis dis parturient montes,ridiculus mus.",11,1,,0,d0c48a50-01e3-4d32-aa0b-e405f9eeb2df,a7310ce2-d37a-400f-8b93-fb06022ed651,1
12,"Orange, New Zeland",1,"Phasellus feugiat convallis nulla ut suscipit. Integer urna nunc, varius Aliquam et metus augue. Cras lacinia congue hendrerit. Curabitur nec sem non tellus fbibendum.",12,1,,0,25a3ce0d-6d92-4314-aa92-86a0b6eda988,bb0d29d2-623f-4593-af52-8328c50944d9,,0.5
13,"Peach, Chine",1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut luctus felis ac turpis ornare hendrerit. Duis suscipit, risus in pulvinar accumsan, ligula nisi tincidunt ex, eget consectetur ex odio at ligula. Quisque egestas magna nec porta dapibus. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae.",13,,,0,c5e6b9c2-a587-4b94-8824-56230c9b9591,dadfe18b-0f23-4672-bc95-66471a538d06,d5273128-4ab0-43b7-b685-4ee7b0802d95,1
14,"Cinnamon",1,"Donec feugiat enim ac aliquet maximus. Vestibulum sed imperdiet nibh. Aliquam nulla erat, hendrerit et felis venenatis, scelerisque sollicitudin est. Sed at elit mattis, sodales tellus sed, efficitur turpis. Curabitur sed bibendum sapien. Cras eget mi tempus, feugiat nisi eu, accumsan quam. Donec vitae gravida nunc.",14,1,,0,00676001-2359-4506-93be-cb3f619dfc30,9eebcaca-90ef-4424-9f68-9ed4293fbf6d,,1
15,"Cloves",1,"In gravida, velit vel mollis ultricies, nisi diam iaculis lectus, quis porta diam magna non libero. Aliquam erat volutpat. Cras sed urna a nibh ultrices aliquam. Phasellus nec justo congue, scelerisque quam eu, aliquet odio. Vivamus eget mi ut odio accumsan facilisis ut in sem.",15,1,,0,01430b57-6306-4746-9406-c23481c09790,9eebcaca-90ef-4424-9f68-9ed4293fbf6d,,1
16,"Ginger",1,"Phasellus sed nisl a magna accumsan sodales nec et erat. Integer fringilla maximus egestas. Nullam tempus turpis id urna lacinia, a porttitor eros porta.",16,,,1,0b8ab521-cfab-44dd-8685-106af0b1583b,9eebcaca-90ef-4424-9f68-9ed4293fbf6d,,1
17,"Almonds",1,"Nunc tristique neque et ante pellentesque dapibus quis quis velit. Aenean lobortis leo vel arcu eleifend, aliquet vestibulum orci volutpat. Proin eget pulvinar nunc. Pellentesque sed hendrerit diam. Proin non sem eleifend, euismod metus vel, dapibus odio.",17,1,,0,10978c29-8fd3-4faf-9079-ea8cdbe85328,8963d5ea-33d1-41c6-a5bc-c36a45e398b8,,0.5
18,"Coconut, Thailand",1,"Suspendisse consequat imperdiet sapien, vel facilisis odio auctor sit amet. Nunc in molestie mauris, eu consequat nibh. Cras lacinia ullamcorper ultrices. In cursus egestas est, vel dictum metus rutrum vel. Nam lectus orci, vestibulum ut pulvinar eu, feugiat at ante. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",18,1,,0,10d99e97-579b-44af-a3c2-3439ba81bdd7,8963d5ea-33d1-41c6-a5bc-c36a45e398b8,,1
19,"Hazelnuts",1,"Donec orci leo, maximus ut erat sit amet, ultricies suscipit justo. Integer faucibus nulla vitae massa tincidunt, et malesuada erat egestas. Curabitur in dui nisl. Nulla elementum, mauris non semper scelerisque, justo risus malesuada sem, quis interdum massa lacus sit amet mauris. Suspendisse elementum, nisl varius interdum consectetur, urna metus laoreet elit, eget cursus enim eros nec arcu. Proin tristique mollis sodales. Nunc tristique est vitae felis feugiat eleifend. ",19,,,1,12744c57-9f53-47c1-985b-01c7f2559bee,8963d5ea-33d1-41c6-a5bc-c36a45e398b8,,1
20,"Malina, Russia",1,"Curabitur finibus ut erat vel viverra. Aenean vehicula metus in venenatis accumsan. In sollicitudin eleifend ligula nec fringilla.",20,,,1,180cd2e7-36f4-4bc0-9d6d-70472e6a9187,6c0b5fdd-708e-4b2e-8c11-4177d8162082,,1
21,"Asparagus",1,"Aliquam faucibus eros quis magna egestas tincidunt. Aliquam rutrum et augue eu dignissim. Vestibulum eu felis erat. Vestibulum diam est, tincidunt id sagittis in, tempor sed ex. Praesent nunc purus, faucibus ultrices volutpat nec, feugiat nec nisi. Etiam in ante sed ante viverra mollis. Morbi porttitor purus id facilisis pellentesque.",21,,,,1ceb8786-e893-4aca-be42-4fc7ee2e1672,9fed20e9-378c-42c7-97d9-a94e0c325d72,,0.5
22,"Cucumber",1,"Aenean maximus odio in dui venenatis, a elementum metus vulputate. Vivamus ultrices turpis sit amet augue hendrerit blandit. Nam ligula dui, blandit vitae elit id, accumsan consectetur nibh. Nullam laoreet volutpat nisl vel lobortis. Curabitur tincidunt tortor quam, quis iaculis sem varius et.",22,,,,21d89ef0-dfb1-4ec6-8d6e-25eea809065c,8f1d12a1-564a-4f71-9f22-9143412cc409,,1
23,"Pumpkin, Armenia",1,"Ut vitae risus urna. Donec convallis aliquam sagittis. Aenean ut consectetur mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus. Nunc varius commodo nisl, a malesuada ex. Morbi aliquam, ante nec scelerisque convallis, augue quam imperdiet erat, vitae varius diam leo non lacus. In hac habitasse platea dictumst.",23,1,,,29dd50ac-aa2e-4ea6-aa2f-4c4a3028f221,8f1d12a1-564a-4f71-9f22-9143412cc409,,1
24,"Cherry tomatoes, Spain",1,"Vivamus vel risus at ligula euismod tempus quis vel lectus. Donec vel consequat nibh. Nunc at rutrum enim. Quisque molestie risus vitae ligula cursus, non lacinia eros dictum. Vestibulum sit amet ultrices orci. Proin eget facilisis lacus, vitae blandit nulla. Vestibulum et tincidunt neque. Integer pellentesque tellus eget libero congue, ut ornare turpis euismod. Mauris varius bibendum libero, non gravida dui porttitor vel.",24,1,,,2aefac23-a335-4933-871c-c96692ef54da,d1853a30-4075-4eb8-a12d-128c71f01114,,1
25,"Basil ordinary",1,"Maecenas sed urna non turpis ultricies volutpat eu vitae felis. Quisque a arcu ac magna interdum semper. Mauris ligula nibh, posuere id augue at, porta aliquam mi. Aliquam mi quam, posuere sed dolor non, ornare sollicitudin turpis. Morbi faucibus dui sit amet metus porta elementum. Duis vel sagittis elit. Suspendisse potenti.",25,,,,2ce1d238-a316-493d-a8db-19f6010d9889,e9112082-fb8f-465f-8764-247870d939ac,,1
26,"Broccoli",1,"Sed sodales commodo mauris, et suscipit nisl. Donec ipsum mauris, imperdiet nec posuere vitae, dignissim in neque. Ut interdum rutrum massa, at pellentesque quam consequat sed.",26,,,,2d9100ae-7d63-49ab-9637-a1b04a6b2b38,d64d1a43-7bbf-4401-84de-00d19892d38b,,1
27,"Cabbage red",1,"Proin et est ac ante interdum fermentum ac ac felis. Morbi consectetur magna nec malesuada iaculis. In id mollis tortor, at condimentum nulla. Cras tempor commodo accumsan. Mauris maximus luctus erat, at laoreet diam rhoncus quis. Vivamus auctor, augue eget pharetra faucibus, est tellus ultrices arcu, at pellentesque arcu orci sit amet urna.",27,,,1,2fad748b-b9d8-4e80-8dcf-bfca43842c29,d64d1a43-7bbf-4401-84de-00d19892d38b,c57cc0fd-bb78-4cd2-b268-9a6b87b24e66,1
28,"Cauliflower",1,"Maecenas a velit molestie, faucibus quam suscipit, rhoncus est. Donec blandit in mauris sed suscipit. Pellentesque porttitor eros scelerisque nunc accumsan consectetur.",28,,,1,2fbbf065-b67e-4b35-8ae4-3e10bb18d071,d64d1a43-7bbf-4401-84de-00d19892d38b,,1
29,"Dill",1,"Nam pulvinar tristique lacus, quis gravida libero. Suspendisse placerat odio in scelerisque malesuada. Vestibulum euismod erat quis leo facilisis fermentum. Morbi semper elit erat, id vulputate nisi tempus a.",29,,,1,44150a4d-c218-4aed-807b-e56382641728,e9112082-fb8f-465f-8764-247870d939ac,,1
30,"Tomato",1,"Integer posuere lacus ut neque rhoncus, nec rutrum purus maximus. Vestibulum aliquam non nisi nec blandit. Suspendisse gravida massa dictum mi blandit bibendum. Fusce fringilla, augue nec pharetra porta, elit ipsum fermentum mi, eu cursus lorem elit a velit. Cras molestie urna ac urna finibus imperdiet. ",30,,,1,4438b21e-97fa-4557-9024-9426dcd27136,d1853a30-4075-4eb8-a12d-128c71f01114,c57cc0fd-bb78-4cd2-b268-9a6b87b24e66,1
31,"Artichoke",1,"Integer posuere lacus ut neque rhoncus, nec rutrum purus maximus. Vestibulum aliquam non nisi nec blandit. Suspendisse gravida massa dictum mi blandit bibendum. Fusce fringilla, augue nec pharetra porta, elit ipsum fermentum mi, eu cursus lorem elit a velit. Cras molestie urna ac urna finibus imperdiet. ",31,,,1,4910327f-fb09-4330-b9cf-1c28c7107437,9fed20e9-378c-42c7-97d9-a94e0c325d72,d5273128-4ab0-43b7-b685-4ee7b0802d95,1
32,"Plum, New Zealand",1,"Vivamus vel mauris dapibus, dapibus justo eu, gravida purus. Nulla ullamcorper turpis sed nisl viverra, sed placerat velit ornare. Maecenas sollicitudin vitae leo quis convallis. Suspendisse potenti. Proin erat eros, lobortis quis eros vel, sollicitudin vehicula nulla.",32,,,1,4aea56f0-681a-41bc-a19a-898a4973d4bf,dadfe18b-0f23-4672-bc95-66471a538d06,d5273128-4ab0-43b7-b685-4ee7b0802d95,1
33,"Pineapple, Australia",1,"Donec ipsum nunc, tristique sed aliquet id, accumsan in elit. Phasellus nulla diam, lacinia at finibus sed, pulvinar ut nisl. Morbi commodo, libero eget tempus vulputate, leo massa suscipit ante, ac viverra sem justo non leo. Pellentesque ut lacinia nibh.",33,,,1,53f5d3c5-d287-463a-9030-ec77d8eb626d,a7310ce2-d37a-400f-8b93-fb06022ed651,2
34,"Wetermelon, Kazakhstan",1,"Nullam sed mollis neque. Etiam velit diam, scelerisque at sagittis eu, sagittis nec massa. Maecenas consectetur justo ac arcu placerat, id fringilla justo dictum.",34,,,1,55d20563-fc5d-422c-8afc-dc2548a38cd5,6c0b5fdd-708e-4b2e-8c11-4177d8162082,,2
